#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
317080:6737,05/28/18 20:40:32,26,HLT_IsoMu24_v13,0.008321827,0.007844298
317087:6738,05/28/18 23:14:11,738,HLT_IsoMu24_v13,0.252096735,0.243202203
317089:6738,05/29/18 04:46:51,999,HLT_IsoMu24_v13,0.220226757,0.212905926
317182:6741,05/30/18 09:15:46,1373,HLT_IsoMu24_v13,0.420764134,0.406209998
317212:6744,05/31/18 02:42:17,139,HLT_IsoMu24_v13,0.053920868,0.051172811
317213:6744,05/31/18 03:40:05,375,HLT_IsoMu24_v13,0.130331447,0.125490000
317279:6747,05/31/18 17:11:10,466,HLT_IsoMu24_v13,0.068311783,0.065891594
317291:6749,06/01/18 02:53:28,789,HLT_IsoMu24_v13,0.282641079,0.274031055
317292:6749,06/01/18 08:08:05,330,HLT_IsoMu24_v13,0.087647375,0.085007136
317297:6749,06/01/18 11:34:35,697,HLT_IsoMu24_v13,0.127414942,0.123799398
317319:6751,06/01/18 19:42:33,136,HLT_IsoMu24_v13,0.055459483,0.052249349
317320:6751,06/01/18 20:37:54,1818,HLT_IsoMu24_v13,0.476496154,0.460406195
317338:6752,06/02/18 10:48:26,40,HLT_IsoMu24_v13,0.015042884,0.013631195
317339:6752,06/02/18 11:06:14,153,HLT_IsoMu24_v13,0.063936144,0.061450264
317340:6752,06/02/18 12:17:48,417,HLT_IsoMu24_v13,0.147455838,0.140597438
317382:6755,06/03/18 16:34:21,70,HLT_IsoMu24_v13,0.027360876,0.024139662
317383:6755,06/03/18 17:05:19,58,HLT_IsoMu24_v13,0.023899689,0.022451451
317391:6757,06/04/18 03:21:59,8,HLT_IsoMu24_v13,0.003496548,0.002717314
317392:6757,06/04/18 03:27:44,1898,HLT_IsoMu24_v13,0.505359348,0.490659735
317435:6759,06/05/18 00:15:36,1396,HLT_IsoMu24_v13,0.374091934,0.360615503
317438:6759,06/05/18 09:20:20,307,HLT_IsoMu24_v13,0.051747091,0.049709793
317475:6761,06/05/18 18:13:47,68,HLT_IsoMu24_v13,0.027077772,0.025761374
317478:6761,06/05/18 18:47:21,23,HLT_IsoMu24_v13,0.008476482,0.007937305
317484:6761,06/05/18 19:51:18,523,HLT_IsoMu24_v13,0.165746311,0.160357101
317488:6761,06/05/18 23:26:30,844,HLT_IsoMu24_v13,0.186916937,0.181128944
317527:6763,06/06/18 22:52:12,1447,HLT_IsoMu24_v13,0.466680818,0.452102222
317591:6768,06/08/18 07:07:54,292,HLT_IsoMu24_v13,0.115252826,0.111117504
317626:6770,06/08/18 20:45:30,2005,HLT_IsoMu24_v13,0.546291029,0.528942858
317640:6772,06/09/18 13:47:48,796,HLT_IsoMu24_v13,0.270183999,0.261181150
317641:6772,06/09/18 19:02:09,1390,HLT_IsoMu24_v13,0.276437381,0.268316147
317648:6773,06/10/18 06:27:56,92,HLT_IsoMu24_v13,0.036314129,0.033882198
317649:6773,06/10/18 07:08:12,619,HLT_IsoMu24_v13,0.199896397,0.193212900
317650:6773,06/10/18 11:10:27,1304,HLT_IsoMu24_v13,0.264312623,0.255997534
317661:6774,06/10/18 21:56:59,1222,HLT_IsoMu24_v13,0.387537582,0.375653569
317663:6774,06/11/18 06:27:15,858,HLT_IsoMu24_v13,0.157243448,0.153301915
317683:6776,06/11/18 16:18:33,320,HLT_IsoMu24_v13,0.122369112,0.117852704
317696:6778,06/12/18 00:00:42,645,HLT_IsoMu24_v13,0.237878017,0.228788626
318733:6850,06/26/18 22:28:18,33,HLT_IsoMu24_v13,0.002986112,0.002792261
318828:6858,06/28/18 06:30:24,70,HLT_IsoMu24_v13,0.013680177,0.013229261
318872:6860,06/28/18 15:50:31,271,HLT_IsoMu24_v13,0.094888121,0.091855388
318874:6860,06/28/18 17:39:38,316,HLT_IsoMu24_v13,0.102970812,0.099566084
318876:6860,06/28/18 19:45:23,160,HLT_IsoMu24_v13,0.048736408,0.046587403
318877:6860,06/28/18 20:49:22,615,HLT_IsoMu24_v13,0.165062573,0.160549990
319077:6874,07/01/18 23:27:46,41,HLT_IsoMu24_v13,0.016847324,0.016372094
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_IsoMu24_v13,24,44,26187,7.309809328,7.060668850
#
#Sum delivered  : 7.309809328
#Sum recorded : 7.060668850
#Check JSON:
#(run,ls) in json but not in results: []
