#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
321012:7037,08/08/18 13:58:30,46,HLT_IsoMu24_v13,0.005253631,0.004974461
320673:7005,08/01/18 02:33:01,867,HLT_IsoMu24_v13,0.065886258,0.064592146
320674:7005,08/01/18 08:11:46,599,HLT_IsoMu24_v13,0.034307292,0.033749177
320688:7006,08/01/18 15:24:06,483,HLT_IsoMu24_v13,0.135322479,0.130855973
320712:7008,08/02/18 02:45:01,204,HLT_IsoMu24_v13,0.071961798,0.069580333
320757:7013,08/02/18 14:37:56,332,HLT_IsoMu24_v13,0.120887148,0.116684512
320804:7017,08/03/18 07:27:51,1225,HLT_IsoMu24_v13,0.330169853,0.319035302
320807:7017,08/03/18 15:28:46,2,HLT_IsoMu24_v13,0.000377821,0.000348395
320809:7017,08/03/18 15:43:13,716,HLT_IsoMu24_v13,0.109017320,0.106231067
320821:7018,08/03/18 23:57:32,181,HLT_IsoMu24_v13,0.062972025,0.060433375
320822:7018,08/04/18 01:09:16,522,HLT_IsoMu24_v13,0.154771051,0.149815329
320823:7018,08/04/18 04:34:31,360,HLT_IsoMu24_v13,0.082833703,0.080025689
320824:7018,08/04/18 06:55:49,1051,HLT_IsoMu24_v13,0.168366963,0.164020607
320838:7020,08/04/18 17:31:12,263,HLT_IsoMu24_v13,0.096206943,0.092366779
320840:7020,08/04/18 19:20:14,466,HLT_IsoMu24_v13,0.145327557,0.139844678
320841:7020,08/04/18 22:26:03,205,HLT_IsoMu24_v13,0.052347912,0.050468420
320853:7024,08/05/18 06:48:20,327,HLT_IsoMu24_v13,0.121670755,0.118066392
320854:7024,08/05/18 08:59:06,124,HLT_IsoMu24_v13,0.041083138,0.039645199
320855:7024,08/05/18 09:50:43,565,HLT_IsoMu24_v13,0.151992268,0.146560086
320856:7024,08/05/18 13:36:28,159,HLT_IsoMu24_v13,0.034598947,0.033490997
320857:7024,08/05/18 14:39:57,272,HLT_IsoMu24_v13,0.054740677,0.052860042
320858:7024,08/05/18 16:27:33,230,HLT_IsoMu24_v13,0.039032636,0.037521219
320859:7024,08/05/18 18:00:16,40,HLT_IsoMu24_v13,0.005145835,0.004926687
320887:7026,08/05/18 22:38:34,272,HLT_IsoMu24_v13,0.107454195,0.104362439
320888:7026,08/06/18 00:26:10,26,HLT_IsoMu24_v13,0.009764341,0.009500266
320916:7031,08/06/18 09:12:39,24,HLT_IsoMu24_v13,0.007336276,0.006635055
320917:7031,08/06/18 09:25:17,1925,HLT_IsoMu24_v13,0.492549200,0.477804518
320920:7031,08/06/18 21:56:15,178,HLT_IsoMu24_v13,0.024669321,0.024013498
320933:7033,08/07/18 03:29:36,171,HLT_IsoMu24_v13,0.054125959,0.051966171
320934:7033,08/07/18 04:38:31,824,HLT_IsoMu24_v13,0.217000789,0.210461750
320936:7033,08/07/18 10:01:22,395,HLT_IsoMu24_v13,0.080609068,0.078320294
320941:7033,08/07/18 12:39:42,93,HLT_IsoMu24_v13,0.016178969,0.015638136
320980:7035,08/07/18 15:52:40,99,HLT_IsoMu24_v13,0.039561990,0.038407873
320995:7036,08/07/18 19:28:55,175,HLT_IsoMu24_v13,0.026906905,0.025796132
320996:7036,08/07/18 20:42:30,376,HLT_IsoMu24_v13,0.050076867,0.048288004
321004:7037,08/08/18 01:47:42,142,HLT_IsoMu24_v13,0.048647590,0.046906845
321005:7037,08/08/18 02:48:15,57,HLT_IsoMu24_v13,0.019956680,0.019195962
321006:7037,08/08/18 03:15:04,162,HLT_IsoMu24_v13,0.054086488,0.051704609
321007:7037,08/08/18 04:19:56,827,HLT_IsoMu24_v13,0.209249867,0.202764245
321009:7037,08/08/18 09:43:25,77,HLT_IsoMu24_v13,0.015125993,0.014732991
321010:7037,08/08/18 10:16:22,340,HLT_IsoMu24_v13,0.059404188,0.057206849
321011:7037,08/08/18 12:32:48,209,HLT_IsoMu24_v13,0.031247777,0.028948924
321051:7039,08/09/18 03:17:54,1099,HLT_IsoMu24_v13,0.323181375,0.311579165
321055:7039,08/09/18 10:35:36,730,HLT_IsoMu24_v13,0.128411902,0.125495933
321067:7040,08/09/18 18:21:44,590,HLT_IsoMu24_v13,0.178774916,0.172708151
321068:7040,08/09/18 22:16:40,705,HLT_IsoMu24_v13,0.151088675,0.147137442
321069:7040,08/10/18 02:54:15,313,HLT_IsoMu24_v13,0.051305666,0.049557953
321119:7042,08/10/18 15:12:52,168,HLT_IsoMu24_v13,0.062143105,0.058668900
321121:7042,08/10/18 16:22:06,45,HLT_IsoMu24_v13,0.016635766,0.015831597
321122:7042,08/10/18 16:42:10,385,HLT_IsoMu24_v13,0.125163200,0.120347054
321124:7042,08/10/18 19:20:25,814,HLT_IsoMu24_v13,0.191898262,0.185308786
321126:7042,08/11/18 01:03:45,493,HLT_IsoMu24_v13,0.081502902,0.078957727
321134:7043,08/11/18 08:39:55,38,HLT_IsoMu24_v13,0.008416372,0.008164377
321138:7043,08/11/18 09:33:42,723,HLT_IsoMu24_v13,0.146697293,0.141978286
321140:7043,08/11/18 14:25:01,798,HLT_IsoMu24_v13,0.119694313,0.116950318
321149:7045,08/11/18 22:25:55,1697,HLT_IsoMu24_v13,0.446897297,0.433918740
