#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
315264:6616,04/27/18 04:14:06,2,HLT_IsoMu24_v11,0.000347098,0
315265:6616,04/27/18 04:35:38,15,HLT_IsoMu24_v11,0.002512078,0
315322:6617,04/27/18 22:14:35,1,HLT_IsoMu24_v11,0.000111006,0
315361:6621,04/29/18 03:18:44,2,HLT_IsoMu24_v11,0.000435730,0.000251430
315555:6636,05/02/18 10:10:46,3,HLT_IsoMu24_v11,0.001041424,0
315702:6640,05/04/18 08:37:23,1,HLT_IsoMu24_v11,0.000338542,0
315703:6640,05/04/18 09:26:18,4,HLT_IsoMu24_v11,0.001098244,0
315721:6642,05/05/18 08:28:43,1,HLT_IsoMu24_v11,0.000320071,0.000314752
315790:6648,05/06/18 18:17:07,2,HLT_IsoMu24_v11,0.000486128,0
316058:6662,05/09/18 21:11:45,3,HLT_IsoMu24_v12,0.001118252,0.000000066
316111:6666,05/10/18 23:04:14,3,HLT_IsoMu24_v12,0.001085667,0
316113:6666,05/10/18 23:40:46,2,HLT_IsoMu24_v12,0.000685000,0
316186:6674,05/12/18 03:16:12,3,HLT_IsoMu24_v12,0.001306503,0
316199:6675,05/13/18 02:27:25,1,HLT_IsoMu24_v12,0.000265208,0
316200:6675,05/13/18 02:32:44,1,HLT_IsoMu24_v12,0.000262848,0
316201:6675,05/13/18 05:47:20,7,HLT_IsoMu24_v12,0.001442386,0
316216:6677,05/13/18 13:32:26,2,HLT_IsoMu24_v12,0.000833715,0
316218:6677,05/13/18 20:31:54,1,HLT_IsoMu24_v12,0.000238527,0.000233045
316240:6681,05/14/18 17:40:15,2,HLT_IsoMu24_v12,0.000369772,0
317320:6751,06/01/18 21:45:30,2,HLT_IsoMu24_v13,0.000556930,0.000363914
317182:6741,05/30/18 13:38:24,4,HLT_IsoMu24_v13,0.001123071,0
316361:6688,05/15/18 18:03:55,7,HLT_IsoMu24_v13,0.001063317,0
316363:6688,05/15/18 21:46:30,2,HLT_IsoMu24_v13,0.000231428,0
316666:6709,05/21/18 04:10:45,5,HLT_IsoMu24_v13,0.001157825,0
316700:6710,05/21/18 13:58:14,10,HLT_IsoMu24_v13,0.003651085,0
316701:6710,05/21/18 17:16:42,5,HLT_IsoMu24_v13,0.001379038,0
